VALORIZACIÓN DEL PERÍODO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ítem,Código,Partida,Unidad,Metrado contratado,Precio unitario,Monto contratado,Avance anterior %,Avance del período %,Avance acumulado %,Metrado ejecutado del período,Metrado ejecutado acumulado,Monto valorizado anterior,Monto valorizado del período,Monto valorizado acumulado,Saldo por ejecutar,Estado,Observaciones,Movimiento idx
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
0,0,0,0,0.00,-,-,,,0.0%,0.00,0.00,-,-,-,-,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"S/. 23,530.00","S/. 35,839.00","S/. 96,661.00",,,
