2.07,,UND, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.08,,UND, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.09,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.1,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.11,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.12,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.13,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.14,,GLB, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.15,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.16,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.17,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
2.18,,GLB, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
3.00,,,,,, S/ 240.00 ,,,,,,,,,,,,,,,,,
3.01,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
3.02,,UND, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
3.03,,M2, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
3.04,,UND, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
3.05,,M3, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.00,,,,,, S/ 240.00 ,,,,,,,,,,,,,,,,,
1.01,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.02,,ML, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.03,,UND, -   , -   , -   ,,, S/ -   , S/ -   , -   , -   , S/ -   ,0%,0%, S/ -   , S/ -   , S/ -   ,,,,,,
1.04,,ML, 10.00 , 24.00 , 240.00 ,,X, S/ 10.00 , S/ 10.00 , 20.00 , 10 , S/ 200.00 ,10%,10%, S/ 24.00 , S/ 240.00 , S/ 40.00 ,,,,,,
 OBSERVACIONES:   ,,,,, Sub Total , S/ 2.04 ,,,,, Sub Total , S/ 202.00 ,0%,0%, Sub Total , S/ 242.04 , S/ 40.04 ,,,,,,
,,,,,G.Generales, S/ 0.10 ,,,,, IGV , S/ 36.36 ,,, IGV , S/ 43.57 ,,,,,,,
,,,,,Utilidad, S/ 40.04 ,,,,, Total , S/ 238.36 ,,, Total , S/ 285.61 ,,,,,,,
,,,,,TOTAL, S/ 42.18 ,,,,,,,,,,,,,,,,,
INFORMACION DE PAGO,,,,,,,,,,,,,,,,COSTOS,,,,,,,
CORREO,,,,,,,,,,,,,,,,SODIMAC, 2.00 ,,,,,,
,,,,,,,,,,,,,,,,X, 200.00 ,,,,,,
,,,,,,,,,,,,,,,,, -   ,,,,,,
,,,,,,,,,,,,,,,,Total, 202.00 ,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
